catchy_subject,received_server_number,subdomain,username_email_similarity,same_return_from,phish,DKIM,SPF
0,0,2,0.25,0,1,0,0
0,4,2,0.375,0,1,0,-1
0,3,2,0.0,1,1,0,-1
1,1,2,0.0,1,1,0,-1
0,4,2,1.0,1,1,0,-1
0,2,2,0.6666666666666666,1,1,0,-1
0,2,2,0.6666666666666666,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,4,2,0.5,0,1,0,-1
0,7,3,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,0,1,0,-1
1,4,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,2,3,0.3333333333333333,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,0
0,6,2,0.5,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,4,2,0.5,0,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,3,2,0.0,0,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,3,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.3333333333333333,1,1,0,-1
0,2,2,0.0,0,1,0,-1
1,3,2,0.5,0,1,0,0
0,3,2,0.0,1,1,1,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,0
0,3,2,0.0,0,1,0,-1
0,4,2,0.3333333333333333,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,2,0.0,0,1,1,-1
0,2,2,0.0,0,1,0,0
0,2,2,0.16666666666666666,0,1,0,0
0,2,3,0.0,0,1,0,-1
0,3,2,0.0,0,1,0,-1
0,4,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,3,3,0.5,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,4,0.2,1,1,0,0
0,2,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,0,0.0,0,1,0,0
0,1,2,0.5,1,1,0,1
0,2,0,0.0,0,1,0,0
1,1,2,0.3333333333333333,1,1,0,-1
1,2,3,0.0,1,1,0,0
0,3,2,0.0,0,1,0,0
0,5,3,0.0,0,1,0,-1
0,6,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,4,0.2,1,1,0,0
0,2,2,1.0,1,1,0,-1
0,2,2,1.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,4,3,0.5,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,1,2,0.0,0,1,0,-1
0,3,3,0.0,0,1,0,-1
1,1,2,0.0,1,1,0,-1
1,3,2,0.0,0,1,1,-1
1,2,3,0.0,1,1,0,1
0,1,2,0.25,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
1,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,5,2,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,4,2,0.5,1,1,0,-1
0,5,3,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,5,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,4,0.2,1,1,0,0
0,2,2,0.0,1,1,0,-1
0,1,0,0.0,0,1,0,0
0,3,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
1,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,-1
0,6,3,0.0,1,1,0,-1
0,6,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,0,0.0,0,1,0,0
0,4,2,0.0,1,1,1,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,1.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
1,2,3,0.0,0,1,0,-1
0,4,6,0.0,0,1,0,0
0,2,4,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,2,2,0.5,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
1,4,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,0
0,1,2,0.0,1,1,0,0
0,2,2,0.5,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,3,0.0,1,1,0,-1
0,4,2,0.0,0,1,0,-1
0,3,3,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,6,2,0.0,0,1,0,0
0,6,2,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,1,0,0.0,0,1,0,0
0,1,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,0
0,1,2,0.0,1,1,0,-1
0,2,2,1.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,4,3,0.0,1,1,0,-1
0,6,3,0.0,1,1,0,-1
0,2,2,1.0,1,1,0,-1
0,7,2,0.5,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
1,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,1,-1
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,4,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,1,0,0.0,0,1,0,0
0,2,3,0.0,1,1,0,-1
0,1,0,0.0,0,1,0,0
0,2,3,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,1,0,0.0,0,1,0,0
0,2,2,0.5,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.75,1,1,0,-1
0,1,0,0.0,0,1,0,0
1,2,2,1.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
1,2,2,1.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,1,-1
0,7,2,0.0,1,1,0,1
0,4,2,0.5,1,1,1,-1
0,2,2,0.0,1,1,0,0
0,3,2,0.25,1,1,0,0
0,2,2,0.0,0,1,0,-1
1,3,3,0.0,0,1,0,-1
0,7,2,0.5,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,2,2,1.0,1,1,0,-1
0,5,2,0.0,1,1,0,-1
0,3,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,1,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.6666666666666666,1,1,1,0
0,2,2,0.0,1,1,0,-1
0,2,0,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,0
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,6,3,1.0,1,1,0,0
0,2,0,0.0,0,1,0,0
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,4,2,0.0,0,1,0,-1
0,3,0,0.0,0,1,0,0
0,3,0,0.0,0,1,0,0
0,3,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,0,-1
0,5,2,0.0,1,1,0,-1
0,1,2,0.0,0,1,0,-1
0,3,2,0.5,1,1,0,0
0,2,3,0.0,0,1,0,0
0,1,2,0.5,1,1,0,-1
0,2,4,0.0,0,1,0,-1
0,4,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
1,2,2,0.3333333333333333,1,1,0,-1
0,3,2,0.0,1,1,0,0
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,0
0,3,2,0.0,1,1,0,0
0,3,2,0.5,1,1,0,-1
0,1,2,0.0,0,1,0,-1
0,3,2,0.0,1,1,0,0
0,2,2,0.0,0,1,0,-1
0,3,2,0.0,1,1,0,0
0,2,2,0.0,1,1,1,-1
0,2,2,0.0,1,1,0,-1
1,2,2,0.0,0,1,0,-1
0,5,2,0.0,1,1,0,-1
1,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,8,3,0.0,1,1,0,-1
0,3,2,0.5,1,1,0,-1
0,3,2,0.5,1,1,0,1
0,2,2,0.0,1,1,0,-1
1,6,2,0.5,0,1,0,-1
0,8,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,4,2,0.0,0,1,0,-1
0,2,4,0.5,1,1,0,1
1,1,2,0.5,1,1,0,-1
1,6,2,0.0,0,1,0,-1
0,3,3,0.0,0,1,0,0
1,6,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,0,-1
0,3,2,0.3333333333333333,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
1,2,3,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
1,4,3,0.125,1,1,0,1
0,2,2,1.0,0,1,0,-1
0,2,2,0.0,0,1,0,0
0,6,2,0.0,1,1,0,-1
0,1,3,0.5,1,1,0,-1
0,2,3,0.0,1,1,0,-1
1,7,3,0.5,0,1,1,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,3,2,0.0,1,1,1,-1
0,5,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,4,2,0.25,1,1,0,-1
0,8,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,1,3,0.25,0,1,0,-1
0,2,2,0.0,1,1,1,-1
0,2,3,0.0,1,1,1,-1
0,8,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,3,3,0.0,1,1,0,-1
0,3,3,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,5,2,0.5,0,1,0,-1
0,3,2,0.0,1,1,0,-1
1,2,2,0.0,1,1,0,0
0,4,0,0.0,0,1,0,0
0,4,2,0.0,1,1,0,1
0,1,2,0.0,1,1,0,-1
0,3,3,0.0,1,1,1,0
0,2,2,0.0,0,1,0,-1
0,3,0,0.0,0,1,0,0
0,3,2,0.0,0,1,1,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,0,-1
0,1,2,0.0,0,1,0,-1
0,1,2,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,1,2,1.0,1,1,0,-1
0,6,0,0.0,0,1,0,0
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,0,1,0,-1
0,4,2,0.0,1,1,0,-1
0,2,2,1.0,1,1,0,0
0,2,2,1.0,1,1,0,0
0,2,2,1.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,2,2,1.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,2,2,0.0,1,1,0,-1
0,3,1,0.5,0,1,1,-1
0,3,1,0.5,0,1,1,-1
0,6,2,0.0,1,1,1,-1
0,4,2,0.0,1,1,0,0
0,5,0,0.0,0,1,0,0
0,7,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,0
0,2,3,0.0,1,1,0,1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,4,2,0.0,0,1,1,-1
0,2,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,5,2,0.0,1,1,0,0
0,3,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,6,3,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
1,2,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,3,2,0.0,1,1,1,1
0,4,2,0.0,1,1,0,-1
0,2,2,1.0,1,1,1,1
1,2,0,0.0,0,1,0,0
0,3,0,0.0,0,1,0,0
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,1,-1
0,2,0,0.0,0,1,0,0
0,1,3,0.0,1,1,0,-1
0,3,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,1,-1
0,4,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,2,2,0.0,1,1,0,-1
1,1,2,0.0,1,1,0,-1
0,4,0,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,4,0.0,0,1,0,-1
0,2,4,0.0,0,1,0,-1
0,3,2,0.0,0,1,1,-1
0,3,2,0.0,0,1,1,0
0,3,2,0.0,0,1,1,0
0,2,2,0.0,1,1,0,0
0,6,0,0.0,0,1,0,0
0,1,2,0.0,0,1,0,1
0,2,3,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,3,0,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,7,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,-1
0,1,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,3,2,0.0,0,1,1,0
0,3,2,0.0,0,1,1,0
0,3,2,0.0,0,1,1,0
0,3,2,0.0,0,1,1,0
0,3,2,0.0,0,1,1,0
0,3,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
1,10,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,3,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,1,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,2,2,0.0,0,1,0,-1
0,2,2,0.3333333333333333,0,1,0,-1
0,3,2,0.0,0,1,1,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,0,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,3,0,0.0,0,1,0,0
0,2,3,0.0,0,1,0,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,6,2,0.5,0,1,0,-1
0,4,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,3,3,1.0,1,1,0,-1
0,1,2,0.0,0,1,0,-1
0,1,2,0.0,0,1,0,-1
0,3,2,0.0,0,1,1,0
0,2,3,0.0,0,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
1,2,3,0.0,1,1,0,0
0,5,2,0.5,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,3,2,0.0,0,1,1,-1
0,6,2,0.0,0,1,0,-1
0,2,2,0.0,0,1,0,-1
0,9,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,3,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,2,2,0.0,1,1,0,0
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,1,1
0,1,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,5,3,0.0,1,1,0,-1
0,2,2,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,3,3,0.0,0,1,1,-1
0,3,3,0.0,0,1,1,-1
0,3,2,0.0,1,1,0,-1
0,1,4,0.0,1,1,0,-1
0,3,3,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,7,2,0.0,1,1,0,-1
0,3,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,3,3,0.0,1,1,0,-1
0,6,3,0.0,1,1,0,0
0,6,2,0.0,1,1,0,-1
0,2,0,0.0,0,1,0,0
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,1,-1
0,4,2,0.3333333333333333,0,1,0,-1
0,1,2,1.0,1,1,0,-1
0,6,2,0.5,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,2,1.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,1,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,0
0,1,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,0
0,3,2,0.0,1,1,0,-1
0,6,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,3,2,0.0,0,1,1,-1
0,3,2,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,4,2,0.0,1,1,0,-1
0,3,2,0.0,0,1,1,-1
0,6,2,0.0,1,1,1,-1
0,2,3,0.0,0,1,0,-1
0,3,2,0.25,0,1,1,-1
0,3,3,0.0,1,1,0,-1
0,2,3,0.0,0,1,0,-1
0,2,3,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,2,1.0,0,1,1,-1
0,2,2,0.0,1,1,0,-1
0,2,2,0.0,1,1,0,-1
0,2,3,0.0,1,1,0,-1
0,1,2,0.0,1,1,0,-1
0,3,3,0.0,0,1,1,0
0,4,3,0.0,0,1,0,-1
0,1,2,0.0,0,1,0,-1
0,2,3,0.0,0,1,0,-1
0,1,2,0.0,1,1,0,-1
0,6,2,0.25,1,1,0,-1
0,2,3,0.3333333333333333,1,1,0,-1
